URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,81.0,82.0,-0.006134969287515526,0.12020648958686836,20.22806982056018,0.7675628794449263,8.398253080002043,20.228070175438596,609.0,1153.0,3127.0,1.0,7.263660017346054
38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,61.0,74.0,-0.09629629558299041,0.13473053878769406,11.098591392977587,0.6675126903553299,4.706441633333167,11.098591549295774,609.0,788.0,1876.0,1.0,6.409898477157361
39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,85.0,89.0,-0.02298850561500859,0.14262295070276806,15.253731115615954,0.7857142857142857,6.4157781605320965,15.253731343283581,609.0,1022.0,2832.0,1.0,7.240704500978474
40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,73.0,69.0,0.028169013886133704,0.12611012422192705,11.799999852500003,0.6652542372881356,4.986101635915255,11.8,609.0,944.0,2164.0,1.0,6.33792372881356
41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,74.0,81.0,-0.04516129003121749,0.12510088771178296,13.078947196329642,0.7253521126760564,5.5217197236022795,13.078947368421053,609.0,994.0,2496.0,1.0,6.788732394366197
42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,72.0,71.0,0.006993006944104847,0.15748898661069494,13.388888640946508,0.7136929460580913,5.64103263480184,13.38888888888889,609.0,723.0,1802.0,1.0,6.733056708160443
43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,32.0,36.0,-0.05882352854671282,0.12686567140510135,10.047618808390029,0.7132701421800948,4.30435558022805,10.047619047619047,609.0,422.0,1042.0,1.0,6.694312796208531
45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,39.0,38.0,0.012987012818350484,0.15009746559435191,13.74193504058274,0.6666666666666666,5.763440682899763,13.741935483870968,609.0,426.0,950.0,1.0,6.215962441314554
46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,88.0,90.0,-0.011235954993056433,0.12158469937050224,17.897058560337374,0.7009038619556286,7.439184968917201,17.897058823529413,609.0,1217.0,3006.0,1.0,6.608874281018899
47,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,66.0,97.0,-0.1901840479129813,0.10543337638717117,12.499999867021279,0.7217021276595744,5.288680797872342,12.5,609.0,1175.0,2877.0,1.0,6.742127659574468
